Male_ID,court_white,court_red,type,redYN,yellowYN
C21_815,3,7,CCx(CCxTTC),Y,N
C21_834,12,4,CCx(CCxTTC),Y,N
C21_836,14,8,CCx(CCxTTC),Y,N
C21_848,5,4,CCx(CCxTTC),Y,N
C21_860,6,4,CCx(CCxTTC),Y,N
C21_869,5,7,CCx(CCxTTC),Y,N
C21_882,8,10,CCx(CCxTTC),Y,N
C21_883,5,6,CCx(CCxTTC),Y,N
C21_894,13,4,CCx(CCxTTC),N,N
C21_924,11,6,CCx(CCxTTC),N,N
C21_925,1,0,CCx(CCxTTC),N,N
D21_156,0,2,TTC,Y,Y
D21_299,1,1,TTC,Y,Y
D21_315,0,0,TTC,Y,Y
D21_324,0,3,TTC,Y,Y
D21_396,0,0,TTC,Y,Y
D21_473,1,2,TTC,Y,Y
D21_581,0,0,TTC,Y,Y
D21_603,0,0,TTC,Y,Y
D21_621,0,1,TTC,Y,Y
D21_622,0,8,CCxTTC,Y,N
D21_637,11,13,CCxTTC,Y,N
D21_638,9,4,CCxTTC,Y,N
D21_639,0,0,TTC,Y,Y
D21_673,2,1,CCxTTC,Y,N
D21_674,5,7,CCxTTC,Y,N
D21_676,0,5,CCxTTC,Y,N
D21_677,0,8,CCxTTC,Y,N
D21_704,1,5,CCxTTC,Y,N
D21_715,0,1,TTC,Y,Y
D21_716,0,2,TTC,Y,Y
D21_727,12,11,CCxTTC,Y,N
D21_734,4,8,CCxTTC,Y,N
D21_744,0,5,TTC,Y,Y
D21_751,7,6,CCxTTC,Y,N
D21_752,0,8,CCxTTC,Y,N
D21_761,6,3,CCxTTC,Y,N
D21_764,1,4,CCxTTC,Y,N
D21_766,3,7,CCxTTC,Y,N
D21_768,0,3,TTC,Y,Y
D21_771,0,2,TTC,Y,Y
D21_807,2,9,CCxTTC,Y,N
D21_808,4,0,CCxTTC,Y,N
D21_822,7,14,CCxTTC,Y,N
D21_847,5,6,CCxTTC,Y,N
D21_853,3,5,CCxTTC,Y,N
D21_855,2,1,CCxTTC,Y,N
D21_856,13,21,CCxTTC,Y,N
D21_857,2,6,CCxTTC,Y,N
D21_880,0,0,CCxTTC,Y,N
D21_883,3,6,CCxTTC,Y,N
D21_890,5,1,CCxTTC,Y,N
D21_939,10,4,CCxTTC,Y,N
D21_940,2,7,CCxTTC,Y,N
D21_956,0,0,TTC,Y,Y
D21_960,9,19,CCxTTC,Y,N
D21_961,2,15,CCxTTC,Y,N
D21_962,14,10,CCxTTC,Y,N
D21_990,2,45,CCxTTC,Y,N
D21_991,0,0,TTC,Y,Y
